epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,998.668,1.46471,1.61283,0.8978,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000995866,0.000995866,0.000995866
124,1006.54,1.24852,1.42038,0.92692,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000990365,0.000990365,0.000990365
125,1015.2,1.62852,1.40182,0.89014,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000984864,0.000984864,0.000984864
126,1024.39,1.44683,1.22471,0.88387,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000979362,0.000979362,0.000979362
127,1033.25,1.18637,1.23603,0.87204,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000973861,0.000973861,0.000973861
128,1042.43,1.17844,1.26447,0.86802,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.00096836,0.00096836,0.00096836
129,1051.82,1.34455,1.79176,0.874,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000962859,0.000962859,0.000962859
130,1060.66,1.5862,1.80717,0.98314,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000957358,0.000957358,0.000957358
131,1068.76,1.19296,1.50635,0.86789,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000951857,0.000951857,0.000951857
132,1077.88,1.70805,1.44526,0.86911,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000946356,0.000946356,0.000946356
133,1086.13,1.31822,1.3042,0.88426,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000940855,0.000940855,0.000940855
134,1094.33,1.50823,1.3845,0.86976,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000935354,0.000935354,0.000935354
135,1103.33,1.72657,1.44609,0.90133,0.83215,0.72727,0.82341,0.53937,1.2852,1.56034,0.87533,0.000929853,0.000929853,0.000929853
136,1111.62,1.51153,1.52671,0.88818,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000924352,0.000924352,0.000924352
137,1119.49,1.3582,1.20123,0.87977,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.00091885,0.00091885,0.00091885
138,1127.51,1.50473,1.41042,0.90869,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000913349,0.000913349,0.000913349
139,1135.5,1.23723,1.12798,0.88921,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000907848,0.000907848,0.000907848
140,1142.98,1.40348,1.54085,1.00064,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000902347,0.000902347,0.000902347
141,1150.86,1.15409,1.21373,0.85689,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000896846,0.000896846,0.000896846
142,1160.99,1.44108,1.20815,0.88909,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000891345,0.000891345,0.000891345
143,1172.65,1.37564,1.23692,0.87778,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000885844,0.000885844,0.000885844
144,1183.33,2.21506,1.79183,0.9038,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000880343,0.000880343,0.000880343
145,1194.02,1.9907,1.78024,0.93642,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000874842,0.000874842,0.000874842
146,1205.45,1.5599,3.62694,0.93647,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.00086934,0.00086934,0.00086934
147,1214.2,1.9353,1.62926,0.91195,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000863839,0.000863839,0.000863839
148,1222.45,1.3125,1.50484,0.98089,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000858338,0.000858338,0.000858338
149,1230.53,1.57819,1.38592,0.90707,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000852837,0.000852837,0.000852837
150,1239.29,1.80061,1.56472,0.91561,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000847336,0.000847336,0.000847336
151,1247.78,1.18813,1.6036,0.92179,0.85918,0.73956,0.84822,0.55976,1.28747,1.3658,0.87154,0.000841835,0.000841835,0.000841835
152,1255.92,1.63601,1.54932,0.88878,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000836334,0.000836334,0.000836334
153,1263.94,1.56093,1.36976,0.86951,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000830833,0.000830833,0.000830833
154,1272.12,1.41024,1.38067,0.89308,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000825332,0.000825332,0.000825332
155,1280.46,1.36836,1.22687,0.86906,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000819831,0.000819831,0.000819831
156,1288.42,2.41949,1.83173,0.92839,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000814329,0.000814329,0.000814329
157,1296.06,1.28316,1.27928,0.89493,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000808828,0.000808828,0.000808828
158,1304.04,1.38577,1.22092,0.8916,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000803327,0.000803327,0.000803327
159,1311.58,1.2894,1.21145,0.87806,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000797826,0.000797826,0.000797826
160,1319.8,1.69919,1.43883,0.89027,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000792325,0.000792325,0.000792325
161,1327.73,1.47446,1.4595,0.87262,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000786824,0.000786824,0.000786824
162,1335.92,1.64096,1.32418,0.90761,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000781323,0.000781323,0.000781323
163,1343.91,1.85764,1.55659,0.90538,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000775822,0.000775822,0.000775822
164,1351.6,1.28702,1.42557,0.9033,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000770321,0.000770321,0.000770321
165,1359.71,1.75395,1.51504,0.88294,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.00076482,0.00076482,0.00076482
166,1367.57,1.68867,1.44253,0.86516,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000759318,0.000759318,0.000759318
167,1375.42,1.52171,1.27058,0.89295,0.92377,0.73737,0.86633,0.58428,1.23247,1.22531,0.86872,0.000753817,0.000753817,0.000753817
168,1383.26,1.65018,1.46741,0.87479,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000748316,0.000748316,0.000748316
169,1391.08,1.60447,1.37234,0.87331,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000742815,0.000742815,0.000742815
170,1399.1,1.23522,1.23436,0.89766,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000737314,0.000737314,0.000737314
171,1407.12,1.39026,1.17187,0.88422,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000731813,0.000731813,0.000731813
172,1415.22,1.42878,1.39377,0.90865,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000726312,0.000726312,0.000726312
173,1423.34,1.3437,1.19046,0.86265,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000720811,0.000720811,0.000720811
174,1432.7,1.29194,1.18059,0.86543,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.00071531,0.00071531,0.00071531
175,1441.51,1.57846,1.36502,0.87243,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000709809,0.000709809,0.000709809
176,1449.23,1.24443,1.18346,0.88948,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000704307,0.000704307,0.000704307
177,1456.86,1.41054,1.29126,0.88108,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000698806,0.000698806,0.000698806
178,1464.94,1.97376,1.63005,0.88878,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000693305,0.000693305,0.000693305
179,1472.82,1.57178,1.36626,0.88552,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000687804,0.000687804,0.000687804
180,1480.5,1.32957,1.23668,0.86066,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000682303,0.000682303,0.000682303
181,1488.06,1.25949,1.1328,0.86826,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000676802,0.000676802,0.000676802
182,1495.95,1.24285,1.30643,0.88548,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.000671301,0.000671301,0.000671301
183,1503.66,1.19042,1.1902,0.86261,0.91052,0.73737,0.88112,0.6006,1.15444,1.11666,0.86135,0.0006658,0.0006658,0.0006658
184,1511.69,1.41619,1.24139,0.85252,0.91395,0.75105,0.88766,0.61863,1.10165,1.06808,0.85539,0.000660299,0.000660299,0.000660299
185,1520.55,1.10327,1.20131,0.86354,0.91395,0.75105,0.88766,0.61863,1.10165,1.06808,0.85539,0.000654798,0.000654798,0.000654798
186,1529.08,1.13666,1.15129,0.85468,0.91395,0.75105,0.88766,0.61863,1.10165,1.06808,0.85539,0.000649297,0.000649297,0.000649297
187,1537.26,1.35963,1.16352,0.85777,0.91395,0.75105,0.88766,0.61863,1.10165,1.06808,0.85539,0.000643795,0.000643795,0.000643795
